subject,course_number,minor
COS,130,COS
COS,150,COS
COS,230,COS
COS,210,COS
COS,250,COS
COS,326,COS
COS,327,COS
COS,311,COS
COS,313,COS
COS,315,COS
COS,317,COS
COS,300,COS
COS,350,COS
COS,375,COS
COS,425,COS
COS,380,COS
