subject,course_number,prereq_subject,prereq_course_number
COS,150,COS,130
COS,210,COS,130
COS,230,COS,210
COS,250,COS,230
COS,300,COS,130
COS,311,COS,150
COS,313,COS,210
COS,315,COS,150
COS,317,COS,230
COS,326,COS,230
COS,327,COS,326
COS,350,COS,230
COS,375,COS,150
COS,380,COS,230
COS,425,COS,150
COS,492,COS,230
