subject,course_number,concentration,major
COS,311,Cyber Defense,COS
COS,313,Cyber Defense,COS
COS,315,Cyber Defense,COS
COS,317,Cyber Defense,COS
COS,300,Software Development,COS
COS,350,Software Development,COS
COS,375,Software Development,COS
COS,425,Software Development,COS
